Region,ISO_code,Cname,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EMR,AFG,Afghanistan,HepB_BD,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,ALB,Albania,HepB_BD,99,99,99,97,97,99,98,98,98,99,99,99,98,99,98,98,,,,,,,,,,,,,,,,,,,,
AFR,DZA,Algeria,HepB_BD,99,99,99,99,99,99,99,99,99,97,97,97,,,,,,,,,,,,,,,,,,,,,,,,
EUR,AND,Andorra,HepB_BD,94,94,96,95,93,94,94,98,98,98,97,97,96,,,,,,,,,,,,,,,,,,,,,,,
AFR,AGO,Angola,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,ATG,Antigua and Barbuda,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,ARG,Argentina,HepB_BD,84,87,85,88,85,79,81,79,76,72,71,65,,,,,,,,,,,,,,,,,,,,,,,,
EUR,ARM,Armenia,HepB_BD,98,98,98,95,95,94,92,91,92,92,93,94,95,95,96,97,,,,,,,,,,,,,,,,,,,,
WPR,AUS,Australia,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,AUT,Austria,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,AZE,Azerbaijan,HepB_BD,99,99,99,98,99,98,95,92,88,86,82,82,83,82,,,,,,,,,,,,,,,,,,,,,,
AMR,BHS,Bahamas (the),HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,BHR,Bahrain,HepB_BD,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,BGD,Bangladesh,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,BRB,Barbados,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,BLR,Belarus,HepB_BD,98,99,99,98,98,98,98,98,98,99,99,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,BEL,Belgium,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,BLZ,Belize,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,BEN,Benin,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,BTN,Bhutan,HepB_BD,78,78,64,60,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,BOL,Bolivia (Plurinational State of),HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,BIH,Bosnia and Herzegovina,HepB_BD,67,74,97,96,95,95,97,96,99,97,97,93,,,,,,,,,,,,,,,,,,,,,,,,
AFR,BWA,Botswana,HepB_BD,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,
AMR,BRA,Brazil,HepB_BD,91,88,89,90,91,92,92,93,94,95,94,92,91,93,95,99,,,,,,,,,,,,,,,,,,,,
WPR,BRN,Brunei Darussalam,HepB_BD,99,99,99,95,95,96,99,99,99,97,96,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,
EUR,BGR,Bulgaria,HepB_BD,97,98,98,98,99,98,98,98,98,99,99,98,98,96,99,98,,,,,,,,,,,,,,,,,,,,
AFR,BFA,Burkina Faso,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,BDI,Burundi,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,CPV,Cabo Verde,HepB_BD,93,99,94,99,99,99,91,81,84,68,68,75,76,77,,,,,,,,,,,,,,,,,,,,,,
WPR,KHM,Cambodia,HepB_BD,81,84,55,62,65,54,52,43,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,CMR,Cameroon,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,CAN,Canada,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,CAF,Central African Republic (the),HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,TCD,Chad,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,CHL,Chile,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,CHN,China,HepB_BD,96,94,99,96,95,92,93,91,86,88,86,76,,,,,,,,,,,,,,,,,,,,,,,,
AMR,COL,Colombia,HepB_BD,87,86,82,85,85,87,89,92,93,80,87,86,85,83,82,82,,,,,,,,,,,,,,,,,,,,
AFR,COM,Comoros (the),HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,COG,Congo (the),HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,COK,Cook Islands,HepB_BD,99,99,98,97,97,99,99,99,99,99,99,99,99,99,99,76,,,,,,,,,,,,,,,,,,,,
AMR,CRI,Costa Rica,HepB_BD,89,89,90,90,88,86,87,87,88,88,89,89,86,87,87,,,,,,,,,,,,,,,,,,,,,
AFR,CIV,Côte d'Ivoire,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,HRV,Croatia,HepB_BD,,98,98,96,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,CUB,Cuba,HepB_BD,99,99,99,99,99,99,99,99,99,99,98,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,
EUR,CYP,Cyprus,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,CZE,Czech Republic (the),HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,PRK,Democratic People's Republic of Korea (the),HepB_BD,97,99,99,99,99,99,98,97,96,94,94,99,28,,,,,,,,,,,,,,,,,,,,,,,
AFR,COD,Democratic Republic of the Congo (the),HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,DNK,Denmark,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,DJI,Djibouti,HepB_BD,92,94,86,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,DMA,Dominica,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,DOM,Dominican Republic (the),HepB_BD,64,67,63,59,67,65,58,54,46,75,75,66,66,66,66,,,,,,,,,,,,,,,,,,,,,
AMR,ECU,Ecuador,HepB_BD,75,79,69,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,EGY,Egypt,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
