Region,ISO_code,Cname,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EMR,AFG,Afghanistan,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,ALB,Albania,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,DZA,Algeria,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,AND,Andorra,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,AGO,Angola,RotaC,49,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,ATG,Antigua and Barbuda,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,ARG,Argentina,RotaC,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,ARM,Armenia,RotaC,93,91,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,AUS,Australia,RotaC,85,84,84,84,85,84,82,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,AUT,Austria,RotaC,61,61,61,61,61,61,61,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,AZE,Azerbaijan,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,BHS,Bahamas (the),RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,BHR,Bahrain,RotaC,97,97,97,96,96,59,90,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,BGD,Bangladesh,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,BRB,Barbados,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,BLR,Belarus,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
