Region,ISO_code,Cname,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AFR,AGO,Angola,YFV,72,77,49,63,64,40,40,61,72,43,44,60,52,46,46,50,53,45,37,,,,,,,,,,,,,,,,,
AMR,ARG,Argentina,YFV,5,7,7,8,12,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,BEN,Benin,YFV,71,64,64,71,71,69,72,66,70,67,61,65,65,27,,,,,,,,,,,,,,,,,,,,,,
AMR,BOL,Bolivia (Plurinational State of),YFV,91,91,91,93,92,74,72,88,93,87,84,23,,,,,,,,,,,,,,,,,,,,,,,,
AMR,BRA,Brazil,YFV,46,47,45,42,37,34,34,35,36,34,34,31,34,20,39,37,38,38,,,,,,,,,,,,,,,,,,
AFR,BFA,Burkina Faso,YFV,88,88,88,87,82,82,93,91,89,88,84,71,60,45,36,40,17,,,,,,,,,,,,,,,,,,,
AFR,BDI,Burundi,YFV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,CPV,Cabo Verde,YFV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,CMR,Cameroon,YFV,77,80,83,80,75,79,72,77,74,72,68,59,,,,,,,,,,,,,,,,,,,,,,,,
AFR,CAF,Central African Republic (the),YFV,48,48,24,48,48,55,62,62,62,62,62,55,48,42,35,36,37,41,42,,,,,,,,,,,,,,,,,
AFR,TCD,Chad,YFV,49,40,49,53,45,41,32,33,39,40,33,24,20,23,26,28,31,13,13,,,,,,,,,,,,,,,,,
AMR,COL,Colombia,YFV,92,92,92,92,88,79,80,81,84,88,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,COG,Congo (the),YFV,65,65,65,65,75,75,66,67,63,66,54,48,,,,,,,,,,,,,,,,,,,,,,,,
AFR,CIV,Côte d'Ivoire,YFV,49,49,69,73,49,69,24,50,68,67,83,73,65,67,67,60,48,57,59,,,,,,,,,,,,,,,,,
AFR,COD,Democratic Republic of the Congo (the),YFV,65,65,64,65,51,68,70,57,61,50,42,25,5,,,,,,,,,,,,,,,,,,,,,,,
AMR,ECU,Ecuador,YFV,78,86,73,74,74,81,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,
AFR,GNQ,Equatorial Guinea,YFV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,ETH,Ethiopia,YFV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,GAB,Gabon,YFV,68,60,69,71,71,61,67,70,65,55,42,28,15,,,,,,,,,,,,,,,,,,,,,,,
