Region,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AFR,BCG,80,81,79,81,80,83,85,81,78,76,75,72,70,68,68,69,67,66,63,65,67,69,66,64,64,75,68,61,59,52,46,35,32,25,24,9
AFR,DTP1,85,83,81,81,81,81,83,80,77,75,73,72,70,68,67,66,65,68,75,71,73,75,70,70,69,77,72,67,64,58,53,43,31,22,20,8
AFR,DTP3,76,74,72,72,72,72,73,70,68,65,62,59,56,54,52,52,49,51,50,51,54,55,50,50,50,57,51,46,43,37,32,24,18,12,11,5
AFR,HepB3,76,74,72,71,71,70,72,64,63,45,41,32,28,24,6,5,,,,,,,,,,,,,,,,,,,,
AFR,Hib3,76,74,72,65,62,61,60,37,30,21,18,16,13,12,3,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
AFR,MCV1,74,72,71,72,72,73,73,68,66,64,61,59,57,55,54,53,51,53,54,55,55,56,52,51,54,58,56,50,46,42,35,26,21,14,12,6
AFR,MCV2,18,11,7,6,5,5,5,4,4,5,4,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,
AFR,PAB,77,76,75,74,76,80,81,78,76,75,73,71,69,67,63,62,57,56,55,51,51,48,46,43,40,42,37,31,26,22,17,13,9,8,6,2
AFR,PCV3,59,50,35,22,11,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,Pol3,76,74,72,73,72,74,76,72,71,67,65,63,62,60,55,54,52,52,53,53,54,55,50,50,51,58,51,46,43,37,32,24,19,13,11,6
AFR,RCV1,12,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFR,RotaC,41,29,12,5,2,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,YFV,43,42,41,36,36,41,44,39,40,35,32,25,14,12,10,9,8,7,5,,,,,,,,,,,,,,,,,
AMR,BCG,95,95,94,97,96,96,97,97,96,96,97,97,97,96,96,97,96,95,96,96,96,94,92,89,86,79,78,76,71,67,59,67,64,62,58,53
AMR,DTP1,96,95,95,96,96,96,96,97,96,96,98,97,97,96,96,97,97,96,96,91,93,85,93,92,92,89,87,86,85,81,80,80,76,74,72,68
